level,cpp_iters,ts_iters,iter_ratio,cpp_time_s_internal,ts_time_s,speedup_TS_CPP,cpp_wall_s
10-6A,36266,47491,1.3095,0.004846500,0.512819300,105.8,0.021654500
7-5A,4361120,4393123,1.0073,0.731955100,48.195035400,65.8,0.753857500
10-5,99425,149607,1.5047,0.016196000,1.003967200,62.0,0.032746300
7-9,837081,837477,1.0005,0.092064800,5.268555700,57.2,0.110384900
2-9,46250,46250,1.0000,0.009081600,0.447791700,49.3,0.025797900
12-6B,31674,31674,1.0000,0.003703500,0.177986500,48.1,0.022248300
7-7B,80146,80146,1.0000,0.010302000,0.474964200,46.1,0.028786700
10-2A,801839,820826,1.0237,0.121195100,5.431856500,44.8,0.138923100
8-2B,238348,238348,1.0000,0.029410200,1.312446000,44.6,0.047082900
11-6A,1182046,1180976,0.9991,0.149819700,6.652490500,44.4,0.168394200
3-11B,6190,6190,1.0000,0.000799300,0.035109900,43.9,0.019471500
8-1,447831,447831,1.0000,0.065820700,2.856043000,43.4,0.082856900
4-3B,32809,32809,1.0000,0.004201100,0.181186300,43.1,0.020228200
12-3,174283,175088,1.0046,0.025978200,1.109298600,42.7,0.044817400
12-3A,760854,761406,1.0007,0.108465100,4.517157500,41.6,0.127673900
10-8,73735,82153,1.1142,0.012991300,0.539819400,41.6,0.032076500
6-9B,34755,34755,1.0000,0.003625400,0.149174400,41.1,0.022398000
8-3A,340117,340117,1.0000,0.045281800,1.857710300,41.0,0.064224200
7-8,52531,52591,1.0011,0.006164500,0.252512600,41.0,0.023931400
12-2,5331,6038,1.1326,0.000982000,0.040154400,40.9,0.022141400
7-5,75502,75620,1.0016,0.009990600,0.405499200,40.6,0.034709200
8-4,47866,47821,0.9991,0.006605600,0.265845500,40.2,0.025209600
4-9A,441497,441497,1.0000,0.064106100,2.559662200,39.9,0.081682800
8-2A,32858,32858,1.0000,0.004606600,0.183924200,39.9,0.022784700
3-9,74973,74973,1.0000,0.010950200,0.431222300,39.4,0.028888200
2-3B,65917,65917,1.0000,0.010454300,0.408385500,39.1,0.030281000
4-8B,4766,4766,1.0000,0.000858200,0.033173300,38.7,0.018418600
8-5A,906186,906000,0.9998,0.153145600,5.870916200,38.3,0.173687300
8-7A,878778,878816,1.0000,0.115313700,4.405093000,38.2,0.132985600
6-9D,49917,49917,1.0000,0.009717000,0.370622900,38.1,0.027884800
12-4A,443362,443362,1.0000,0.055912800,2.131119700,38.1,0.074856400
5-8,8318,8318,1.0000,0.000936700,0.035622500,38.0,0.021506000
12-9,123643,134204,1.0854,0.017525800,0.656138900,37.4,0.037374200
1-11B,36235,36235,1.0000,0.005975700,0.223102600,37.3,0.023519600
5-6,7984,7984,1.0000,0.001717000,0.062635600,36.5,0.018639800
8-1A,634772,634772,1.0000,0.082758700,3.007069800,36.3,0.101644500
3-10C,119985,119985,1.0000,0.019065400,0.691090800,36.2,0.038516600
7-7C,50561,50561,1.0000,0.011246200,0.406554100,36.2,0.031479100
10-3,177807,183381,1.0313,0.025982000,0.934818500,36.0,0.043796800
12-1A,266777,271245,1.0167,0.050720700,1.820661100,35.9,0.069362700
5-4B,288921,288738,0.9994,0.035277600,1.262701900,35.8,0.053094600
4-7B,5098,5098,1.0000,0.000722800,0.025816100,35.7,0.025702900
9-8,7046,7046,1.0000,0.001020000,0.035762400,35.1,0.019514900
